unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"09266DDB-F19A-AF90-E063-4704A8C02087","431596","2023-08-04","EC4M 7AS","F","N","L","3","1 - 3","LUDGATE SQUARE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/09266DDB-F19A-AF90-E063-4704A8C02087/current"
"12A8BAB6-7010-2125-E063-4804A8C08CC1","750000","2023-11-10","EC4M 7AS","F","N","L","FLAT 6","LAMBERT HOUSE, 2","LUDGATE SQUARE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/12A8BAB6-7010-2125-E063-4804A8C08CC1/current"
"1061746E-B85F-3C34-E063-4804A8C0F9E7","138000","2023-09-28","EC4M 9AG","O","N","L","UNIT SU25","ONE NEW CHANGE, 15","NEW CHANGE PASSAGE","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/1061746E-B85F-3C34-E063-4804A8C0F9E7/current"
"1061746E-DBB9-3C34-E063-4804A8C0F9E7","13800000","2023-08-10","EC4N 5AF","O","N","F","","107","CANNON STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/1061746E-DBB9-3C34-E063-4804A8C0F9E7/current"
"0B853950-B5D7-69A5-E063-4704A8C07DAC","37800000","2023-07-11","EC4N 7TW","O","N","L","","10","KING WILLIAM STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/0B853950-B5D7-69A5-E063-4704A8C07DAC/current"
"0B853950-D94A-69A5-E063-4704A8C07DAC","465000","2023-10-31","EC4R 1BR","F","N","L","FLAT 26","30","QUEEN STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/0B853950-D94A-69A5-E063-4704A8C07DAC/current"
"FAC30767-DA70-5E20-E053-4704A8C004EE","205000","2023-04-05","EC4R 1BR","O","N","L","FLAT 29","30","QUEEN STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/FAC30767-DA70-5E20-E053-4704A8C004EE/current"
"045A1899-6115-9A24-E063-4804A8C048EA","465000","2023-07-19","EC4R 1BR","F","N","L","FLAT 44","30","QUEEN STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/045A1899-6115-9A24-E063-4804A8C048EA/current"
"152AB734-676F-E651-E063-4704A8C061D9","1009361","2023-07-24","EC4R 1EB","O","N","L","BASEMENT AND GROUND FLOOR","THE REX BUILDING, 62","QUEEN STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/152AB734-676F-E651-E063-4704A8C061D9/current"
"1775CCF6-D84E-38BA-E063-4704A8C05A7C","625000","2023-12-01","EC4R 2RP","F","N","L","FLAT 1","WHITTINGTON HOUSE, 19 - 20","COLLEGE HILL","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF6-D84E-38BA-E063-4704A8C05A7C/current"
"0B85394F-8ABA-69A5-E063-4704A8C07DAC","585000","2023-08-31","EC4V 3EH","F","N","L","FLAT 510","QUEENS QUAY, 58","UPPER THAMES STREET","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/0B85394F-8ABA-69A5-E063-4704A8C07DAC/current"
"0B853950-C4A8-69A5-E063-4704A8C07DAC","460000","2023-09-15","EC4V 3EJ","F","N","L","FLAT 108","QUEENS QUAY, 58","UPPER THAMES STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/0B853950-C4A8-69A5-E063-4704A8C07DAC/current"
"045A1898-8662-9A24-E063-4804A8C048EA","505000","2023-06-29","EC4V 3EJ","F","N","L","FLAT 206","QUEENS QUAY, 58","UPPER THAMES STREET","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/045A1898-8662-9A24-E063-4804A8C048EA/current"
"06C9F487-98E5-9388-E063-4804A8C0BD98","1088000","2023-08-17","EC4V 3EJ","F","N","L","FLAT 318","QUEENS QUAY, 58","UPPER THAMES STREET","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/06C9F487-98E5-9388-E063-4804A8C0BD98/current"
"F87E72F8-D887-176C-E053-6B04A8C0D2BE","2450000","2023-01-13","EC4V 3PA","F","N","L","FLAT 49","SIR JOHN LYON HOUSE, 8","HIGH TIMBER STREET","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/F87E72F8-D887-176C-E053-6B04A8C0D2BE/current"
"FFA361DB-073D-8A03-E053-4804A8C01F61","650000","2023-04-21","EC4V 3PN","F","N","L","APARTMENT 54","GLOBE VIEW, 10","HIGH TIMBER STREET","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FFA361DB-073D-8A03-E053-4804A8C01F61/current"
"09266DDB-F178-AF90-E063-4704A8C02087","655000","2023-08-23","EC4V 3PS","F","N","L","APARTMENT 104","GLOBE VIEW, 10","HIGH TIMBER STREET","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/09266DDB-F178-AF90-E063-4704A8C02087/current"
"FD226035-7993-4CB7-E053-4804A8C00430","1200000","2023-03-31","EC4V 5DE","F","N","L","FLAT 7","31 - 34","ST ANDREWS HILL","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FD226035-7993-4CB7-E053-4804A8C00430/current"
